"OTU";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species"
"Sample_1_filtered_trimmed_combined141size=2";"Eukaryota";"Chordata";"Actinopteri";"Lutjaniformes";"Lutjanidae";"Lutjanus";"Lutjanus stellatus"
"Sample_1_filtered_trimmed_combined154size=2";"Eukaryota";"Chordata";"Actinopteri";"Lutjaniformes";"Lutjanidae";"Lutjanus";"Lutjanus stellatus"
"Sample_1_filtered_trimmed_combined169size=1";"Eukaryota";"Chordata";"Actinopteri";"Clupeiformes";"Clupeidae";"Spratelloides";"Spratelloides delicatulus"
"Sample_1_filtered_trimmed_combined1size=1";"Eukaryota";"Chordata";"Actinopteri";"Lutjaniformes";"Lutjanidae";"Lutjanus";"Lutjanus stellatus"
"Sample_1_filtered_trimmed_combined229size=1";"Eukaryota";"Chordata";"Actinopteri";"NA";"Pomacentridae";"Abudefduf";"NA"
"Sample_1_filtered_trimmed_combined232size=1";"Eukaryota";"Chordata";"Actinopteri";"Chaetodontiformes";"Chaetodontidae";"Chaetodon";"Chaetodon octofasciatus"
"Sample_1_filtered_trimmed_combined242size=4";"Eukaryota";"Chordata";"Actinopteri";"Clupeiformes";"Clupeidae";"Spratelloides";"Spratelloides gracilis"
"Sample_1_filtered_trimmed_combined243size=1";"Eukaryota";"Chordata";"Actinopteri";"Scombriformes";"Scombridae";"Euthynnus";"Euthynnus affinis"
"Sample_1_filtered_trimmed_combined251size=5";"Eukaryota";"Chordata";"Actinopteri";"Labriformes";"Labridae";"Hemigymnus";"Hemigymnus melapterus"
"Sample_1_filtered_trimmed_combined263size=1";"Eukaryota";"Chordata";"Actinopteri";"Chaetodontiformes";"Chaetodontidae";"Chaetodon";"Chaetodon octofasciatus"
"Sample_1_filtered_trimmed_combined264size=1";"Eukaryota";"Chordata";"Actinopteri";"Clupeiformes";"Clupeidae";"Spratelloides";"Spratelloides gracilis"
"Sample_1_filtered_trimmed_combined270size=1";"Eukaryota";"Chordata";"Actinopteri";"NA";"Pomacentridae";"Amblyglyphidodon";"Amblyglyphidodon leucogaster"
"Sample_1_filtered_trimmed_combined282size=2";"Eukaryota";"Chordata";"Actinopteri";"Scombriformes";"Scombridae";"Euthynnus";"Euthynnus affinis"
"Sample_1_filtered_trimmed_combined290size=1";"Eukaryota";"Chordata";"Actinopteri";"NA";"Pomacentridae";"Pomacentrus";"Pomacentrus nigromanus"
"Sample_1_filtered_trimmed_combined292size=1";"Eukaryota";"Chordata";"Actinopteri";"Scombriformes";"Scombridae";"Euthynnus";"Euthynnus affinis"
"Sample_1_filtered_trimmed_combined296size=1";"Eukaryota";"Chordata";"Actinopteri";"Clupeiformes";"Clupeidae";"Spratelloides";"Spratelloides delicatulus"
"Sample_1_filtered_trimmed_combined297size=1";"Eukaryota";"Chordata";"Actinopteri";"Scombriformes";"Scombridae";"Euthynnus";"Euthynnus affinis"
"Sample_1_filtered_trimmed_combined300size=50";"Eukaryota";"Chordata";"Actinopteri";"Clupeiformes";"Clupeidae";"Spratelloides";"Spratelloides delicatulus"
"Sample_1_filtered_trimmed_combined304size=1";"Eukaryota";"Chordata";"Actinopteri";"NA";"Pomacentridae";"Pomacentrus";"Pomacentrus nigromanus"
"Sample_1_filtered_trimmed_combined310size=1";"Eukaryota";"Chordata";"Actinopteri";"Priacanthiformes";"Priacanthidae";"Priacanthus";"Priacanthus tayenus"
"Sample_1_filtered_trimmed_combined311size=1";"Eukaryota";"Chordata";"Actinopteri";"Lutjaniformes";"Lutjanidae";"Lutjanus";"Lutjanus fulviflamma"
"Sample_1_filtered_trimmed_combined312size=1";"Eukaryota";"Chordata";"Actinopteri";"Clupeiformes";"Clupeidae";"Spratelloides";"Spratelloides gracilis"
"Sample_1_filtered_trimmed_combined313size=1";"Eukaryota";"Chordata";"Actinopteri";"Clupeiformes";"Clupeidae";"Spratelloides";"Spratelloides delicatulus"
"Sample_1_filtered_trimmed_combined322size=8";"Eukaryota";"Chordata";"Actinopteri";"Lutjaniformes";"Lutjanidae";"Pterocaesio";"Pterocaesio digramma"
"Sample_1_filtered_trimmed_combined327size=2";"Eukaryota";"Chordata";"Actinopteri";"NA";"Pomacentridae";"Pomacentrus";"Pomacentrus stigma"
"Sample_1_filtered_trimmed_combined328size=1";"Eukaryota";"Chordata";"Actinopteri";"Clupeiformes";"Clupeidae";"Spratelloides";"Spratelloides gracilis"
"Sample_1_filtered_trimmed_combined329size=1";"Eukaryota";"Chordata";"Actinopteri";"Clupeiformes";"Clupeidae";"Spratelloides";"Spratelloides gracilis"
"Sample_1_filtered_trimmed_combined330size=1";"Eukaryota";"Chordata";"Actinopteri";"Clupeiformes";"Engraulidae";"Encrasicholina";"Encrasicholina punctifer"
"Sample_1_filtered_trimmed_combined334size=1";"Eukaryota";"Chordata";"Actinopteri";"Clupeiformes";"Clupeidae";"Spratelloides";"Spratelloides gracilis"
"Sample_1_filtered_trimmed_combined337size=8";"Eukaryota";"Chordata";"Actinopteri";"NA";"Pomacentridae";"Pomacentrus";"Pomacentrus nigromanus"
"Sample_1_filtered_trimmed_combined338size=2";"Eukaryota";"Chordata";"Actinopteri";"Lutjaniformes";"Lutjanidae";"Pterocaesio";"Pterocaesio digramma"
"Sample_1_filtered_trimmed_combined342size=1";"Eukaryota";"Chordata";"Actinopteri";"NA";"Pomacentridae";"Pomacentrus";"Pomacentrus nigromanus"
"Sample_1_filtered_trimmed_combined351size=1";"Eukaryota";"Chordata";"Actinopteri";"Lutjaniformes";"Lutjanidae";"Lutjanus";"Lutjanus decussatus"
"Sample_1_filtered_trimmed_combined357size=1";"Eukaryota";"Chordata";"Actinopteri";"Clupeiformes";"Clupeidae";"Spratelloides";"Spratelloides gracilis"
"Sample_1_filtered_trimmed_combined358size=6";"Eukaryota";"Chordata";"Actinopteri";"Clupeiformes";"Clupeidae";"Spratelloides";"Spratelloides gracilis"
"Sample_1_filtered_trimmed_combined359size=3";"Eukaryota";"Chordata";"Actinopteri";"Clupeiformes";"Clupeidae";"Spratelloides";"Spratelloides gracilis"
"Sample_1_filtered_trimmed_combined360size=12";"Eukaryota";"Chordata";"Actinopteri";"Scombriformes";"Scombridae";"Euthynnus";"Euthynnus affinis"
"Sample_1_filtered_trimmed_combined365size=1";"Eukaryota";"Chordata";"Actinopteri";"Scombriformes";"Scombridae";"Euthynnus";"Euthynnus affinis"
"Sample_1_filtered_trimmed_combined369size=1";"Eukaryota";"Chordata";"Actinopteri";"NA";"Pomacentridae";"Abudefduf";"NA"
"Sample_1_filtered_trimmed_combined372size=1";"Eukaryota";"Chordata";"Actinopteri";"Clupeiformes";"Clupeidae";"Spratelloides";"Spratelloides gracilis"
"Sample_1_filtered_trimmed_combined378size=1";"Eukaryota";"Chordata";"Actinopteri";"Scombriformes";"Scombridae";"Euthynnus";"NA"
"Sample_1_filtered_trimmed_combined379size=1";"Eukaryota";"Chordata";"Actinopteri";"NA";"Pomacentridae";"Amblyglyphidodon";"Amblyglyphidodon leucogaster"
"Sample_1_filtered_trimmed_combined385size=1";"Eukaryota";"Chordata";"Actinopteri";"Clupeiformes";"Clupeidae";"Spratelloides";"Spratelloides gracilis"
"Sample_1_filtered_trimmed_combined387size=2";"Eukaryota";"Chordata";"Actinopteri";"Scombriformes";"Scombridae";"Thunnus";"Thunnus maccoyii"
"Sample_1_filtered_trimmed_combined391size=1";"Eukaryota";"Chordata";"Actinopteri";"Clupeiformes";"Clupeidae";"Spratelloides";"Spratelloides delicatulus"
"Sample_1_filtered_trimmed_combined392size=3";"Eukaryota";"Chordata";"Actinopteri";"Scombriformes";"Scombridae";"Euthynnus";"Euthynnus affinis"
"Sample_1_filtered_trimmed_combined394size=2";"Eukaryota";"Chordata";"Actinopteri";"Scombriformes";"Scombridae";"Euthynnus";"Euthynnus affinis"
"Sample_1_filtered_trimmed_combined396size=1";"Eukaryota";"Chordata";"Actinopteri";"Chaetodontiformes";"Chaetodontidae";"Chaetodon";"Chaetodon octofasciatus"
"Sample_1_filtered_trimmed_combined414size=1";"Eukaryota";"Chordata";"Actinopteri";"Clupeiformes";"Clupeidae";"Spratelloides";"Spratelloides delicatulus"
"Sample_1_filtered_trimmed_combined417size=2";"Eukaryota";"Chordata";"Actinopteri";"Scombriformes";"Scombridae";"Euthynnus";"Euthynnus affinis"
"Sample_1_filtered_trimmed_combined426size=1";"Eukaryota";"Chordata";"Actinopteri";"Clupeiformes";"Clupeidae";"Spratelloides";"Spratelloides gracilis"
"Sample_1_filtered_trimmed_combined42size=1";"Eukaryota";"Chordata";"Actinopteri";"NA";"Pomacentridae";"Chromis";"Chromis alpha"
"Sample_1_filtered_trimmed_combined433size=1";"Eukaryota";"Chordata";"Actinopteri";"NA";"Pomacentridae";"Pomacentrus";"Pomacentrus nigromanus"
"Sample_1_filtered_trimmed_combined434size=1";"Eukaryota";"Chordata";"Actinopteri";"Clupeiformes";"Clupeidae";"Spratelloides";"Spratelloides gracilis"
"Sample_1_filtered_trimmed_combined454size=1";"Eukaryota";"Chordata";"Actinopteri";"Clupeiformes";"Engraulidae";"Encrasicholina";"Encrasicholina punctifer"
